id;cpath;opath
280;[7264, 119, 10038, 3093, 8210, 3347, 79, 77, 7688, 8210, 3347, 79, 76, 7685, 7903, 5498, 753, 756, 760, 8477, 7870, 8459, 107, 94, 95, 87, 89, 756, 760, 8477, 7870, 8459, 107, 93, 100, 102, 124, 7308, 106, 583, 581, 10082, 2329, 6996, 861, 8739, 984, 974, 2157, 4683, 4688, 4694, 1983, 1980];[7264, 7264, 3093, 79, 77, 77, 77, 77, 95, 107, 93, 106, 583, 10082, 8739, 984, 2157, 4694, 1980, 1980]
281;[];[]
282;[90, 3099, 3095, 3100, 3109, 3105, 3097, 10673, 7053, 73, 10366, 740, 3343, 3340, 5690, 3342, 584, 3136, 5282, 5285, 880, 569, 439, 8217, 610, 10723, 3245, 3252, 10044, 3261, 3249, 3204, 4975, 9123, 1896, 3243, 3210, 5277, 3221, 8132, 3240, 1898, 9118, 8628, 1903, 7101, 5363, 7173, 526, 7787, 5267, 7167, 408, 4891, 7092, 1942, 411, 417, 413, 5391, 414];[90, 90, 3095, 3100, 10673, 73, 10366, 740, 5690, 5282, 880, 880, 569, 439, 610, 10723, 3249, 3204, 4975, 3243, 3210, 3240, 1898, 5363, 7787, 5267, 408, 1942, 5391, 5391, 5391, 5391, 414]
283;[];[]
284;[5043, 1349, 1346, 1344, 2019, 10198, 889, 4590, 987, 125, 124, 7308, 106, 583, 580, 762, 9060, 7873, 8458, 8478, 7874, 758, 4769, 755, 3351, 940, 30, 28, 25, 5643, 7811, 5640, 5646, 5639, 6753, 6750, 6751, 7815, 6432, 729, 766, 1678, 7749, 764, 7750, 6750, 6751, 7815, 6431, 828, 7950, 46, 7955, 7953, 10559, 69, 65, 6759, 7259, 62, 721, 6994, 6997, 10733, 2377, 725, 714, 5114, 7029, 7031, 7032, 7038, 719, 10668, 8483, 369, 162, 8485, 10979, 7509, 7251, 7242];[5043, 5043, 5043, 1349, 1346, 1344, 2019, 2019, 2019, 2019, 2019, 889, 987, 987, 124, 7308, 583, 580, 580, 762, 9060, 7873, 7873, 7873, 7874, 7874, 7874, 4769, 755, 3351, 3351, 940, 940, 940, 28, 5646, 5639, 6750, 6750, 6751, 7815, 6432, 6432, 6432, 6432, 6432, 6432, 6432, 6432, 6432, 6432, 6432, 729, 766, 7749, 7749, 7749, 7750, 6751, 6751, 6751, 6751, 7815, 7815, 828, 7953, 69, 6759, 7259, 6994, 2377, 725, 714, 7029, 7029, 7032, 10668, 8483, 369, 8485, 10979, 10979, 7251, 7251, 7251, 7251, 7242]
285;[192, 193, 196, 9302, 1363, 1371, 1401, 198, 1405, 4364, 1616, 456, 5606, 460, 177, 5607, 10558, 181, 480, 478, 10593, 1424, 10599, 10119, 463, 9703, 1417, 1419];[192, 193, 9302, 1363, 1371, 1371, 1401, 1401, 1405, 1405, 456, 460, 460, 460, 5607, 478, 478, 10599, 9703, 9703, 1419, 1419, 1419]
286;[9558, 1963, 1961, 535, 8266, 5257, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 572, 8719, 574, 434, 8701, 2362, 1855, 1856, 1866, 1848, 1872, 1864, 1873, 1172, 1303, 2283, 1171, 1256, 8729, 1257, 1169, 10420, 5811, 9380, 1168, 3001];[9558, 9558, 1963, 1963, 1961, 1961, 1961, 535, 8266, 3144, 3162, 3162, 566, 7480, 567, 8719, 574, 434, 8701, 1855, 1866, 1864, 1172, 1172, 1171, 1256, 10420, 5811, 3001]
287;[6781, 3968, 3983, 8044, 1540, 7088, 7090, 10934, 1535, 5405, 1387, 1391, 1495, 4056, 1395];[6781, 6781, 3983, 1540, 10934, 1535, 1387, 1495, 4056, 1395, 1395]
288;[2801, 2763, 359, 3080, 330, 2316, 2315, 2801, 2763, 359, 3081, 8287, 1066, 8273, 8275, 360, 362, 7520, 7522, 2774, 364, 318, 2785, 2787, 2776, 2788, 2790, 7988, 1105, 7538, 7531, 8600, 5186, 1106, 7997, 7996, 2776, 2788, 2790, 7988, 1105, 7538, 7531, 8600, 5186, 1107, 5185, 7528, 8599, 7530, 7540, 7527, 6648, 7608, 7602, 1124, 6649, 9542, 6653, 1116, 1113, 8441, 6631, 6642, 1108, 6644, 6630, 7908, 5700, 542, 6484, 6640, 1079, 6637, 6641, 6633, 8440, 10692];[2801, 2801, 330, 2316, 2316, 2316, 2315, 2801, 3081, 1066, 360, 7522, 364, 364, 364, 364, 364, 364, 2776, 7996, 5186, 8441, 6640, 6640, 6640, 1079, 6637, 6633, 6633, 6633, 10692, 10692, 10692, 10692]
289;[];[]
290;[];[]
291;[729, 766, 1678, 7749, 764, 7751, 7432, 6746, 732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7681, 8245, 770, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 835];[729, 729, 729, 7749, 7432, 732, 7809, 7681, 8243, 925, 10273, 931, 939, 927, 9691, 9691, 835]
292;[];[]
293;[4078, 4043, 4064, 7255, 5438, 9186, 5443, 7404, 9104, 9099, 6788, 5465, 5461, 3960, 5475, 5524, 5471, 5454, 5467, 6775, 5432, 9873, 11029, 5457, 5474, 5419];[4078, 4064, 7255, 7255, 7255, 7255, 5438, 5438, 5438, 7404, 7404, 6788, 5465, 5461, 5461, 5475, 5475, 5471, 5471, 5467, 5467, 5474, 5419]
294;[];[]
295;[335, 336, 648, 4840, 6928, 6920, 6919, 8594, 446, 6913, 3083, 450, 1185, 9422, 5579, 5564, 10515, 10517, 5552, 820, 9204, 5591, 5585, 5598, 5575, 5586, 7235, 5565, 5570, 5584, 10487, 5572, 9384, 10189, 10188, 1321, 1331, 896, 10193, 1341, 10185, 10195, 579, 10183, 893, 10709, 10708, 10176, 10178, 10485, 9203, 8480, 10082, 2329, 6995, 762, 9060, 7873, 8458, 8478, 7874, 758, 4770, 856, 838, 7783, 835];[335, 335, 336, 6920, 446, 3083, 450, 5564, 9204, 5575, 7235, 1321, 1331, 896, 10185, 10195, 10195, 10195, 579, 10708, 10485, 8480, 6995, 762, 762, 9060, 7873, 8478, 7874, 838, 7783, 7783, 835, 835, 835, 835]
296;[6519, 6520, 8754, 6522, 6525, 6511, 6494, 8391, 8386, 6471, 7275, 4650, 4849, 8352, 4655, 9887, 8102, 4658, 1003, 1002, 998, 996, 6517, 6531, 6546, 6550, 6570, 6573, 8280, 6577, 6543, 6534, 1078, 6592, 151, 149, 358, 10126, 5006, 5111, 10124, 5117, 132, 621, 8258, 632, 131, 8256, 2046, 8252, 126, 7, 2145, 11, 4804, 14, 383, 384, 386, 11052, 406, 1080, 4696, 2171, 4745, 10264, 10263, 10260, 5650, 10171, 10172, 5652, 7223, 1982, 1986, 1083, 6433, 10261, 10262, 10264, 10262, 10265, 4746, 2170, 4695, 1081];[6519, 6519, 6520, 6577, 6577, 6543, 6534, 6592, 151, 149, 358, 10126, 5111, 5111, 10124, 132, 132, 621, 8258, 632, 632, 8256, 8256, 2046, 126, 7, 7, 2145, 2145, 2145, 4804, 14, 383, 384, 406, 406, 406, 4696, 2171, 10263, 10260, 10260, 5650, 5650, 5650, 5650, 10171, 10262, 10264, 4746, 1081, 1081, 1081]
297;[6810, 6172, 6808, 6199, 4910, 6207, 659, 6214, 5766, 660, 6204, 6184, 6177, 663, 664, 4898, 9385, 2232, 6115, 667, 668, 671, 10322, 675, 8610, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2158, 10336, 4634, 4659, 2161, 4662, 2164, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651, 5650];[6810, 6810, 6199, 6207, 659, 6214, 6184, 4898, 6115, 667, 671, 675, 677, 677, 2139, 10164, 10336, 2161, 4662, 4662, 2164, 2157, 4688, 1983, 5650, 5650, 5650, 5650, 5650, 5650]
298;[436, 572, 8719, 573, 575, 7917, 7915, 559, 561, 563, 4594, 10198, 890, 10204, 1353, 892, 10181, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10164, 7679, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2185, 1789, 677, 2291, 2139, 10163, 679, 579, 10183, 893, 10709, 10708, 10175, 4623, 10208, 124, 7308, 105, 104, 93, 100, 103, 104, 93, 99, 2126, 115, 113, 112, 7264, 120, 743, 5126, 3102, 5128, 5130, 5134, 7045, 7046, 7041, 7048, 7061, 7819, 816, 814, 3113, 5671, 5672, 812, 916, 162, 8485, 10978, 8481, 264, 8047, 9300, 160, 5666, 802, 5694, 1686, 806, 810, 7803, 8233, 7027, 5678, 1729, 10442, 3453, 3451, 1478, 1480, 3446, 1487, 701, 3492, 7208, 7617, 698, 11033, 699, 2491, 683, 684, 2442, 2483, 2439, 10457, 7014, 2437, 7008, 686, 682, 681, 7024, 7022, 1682, 1146, 1150, 9404, 1150, 9402, 1141, 1144];[436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 572, 573, 573, 7917, 561, 563, 563, 563, 4594, 10198, 890, 1353, 1353, 1353, 1353, 10181, 2159, 8528, 2168, 8691, 2188, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 677, 2291, 2291, 10163, 679, 679, 679, 10183, 10708, 10208, 10208, 100, 93, 93, 99, 2126, 2126, 115, 113, 7264, 3102, 5130, 5134, 7041, 7048, 7061, 7819, 816, 5671, 916, 916, 162, 8481, 9300, 802, 7803, 7027, 3453, 3451, 1480, 701, 3492, 7208, 699, 684, 2483, 2439, 10457, 10457, 7008, 686, 681, 7022, 1682, 1146, 1150, 1150, 1150, 1150, 1150, 1150, 9402, 1141, 1144]
299;[5474, 5419, 498, 10062, 5389, 5393, 313, 7875, 7877, 1975, 1976, 8921, 8733, 303, 7765, 5398, 5255, 372, 371, 529, 3312, 531, 533, 419, 5275, 5268];[5474, 5474, 5419, 5419, 5419, 10062, 10062, 10062, 5389, 5393, 313, 8921, 7765, 372, 529, 529, 529, 3312, 533, 419, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5275, 5268, 5268, 5268, 5268, 5268, 5268, 5268]
300;[1304, 427, 2016, 1993, 2017, 10198, 890, 10204, 1353, 892, 10181, 2184, 2158, 10336, 4634, 4659, 2161, 4662, 2164, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651];[1304, 427, 427, 2016, 1993, 2017, 2017, 10198, 10204, 1353, 10181, 10181, 10181, 2184, 2158, 2161, 2157, 2157, 4694, 5651]
301;[];[]
302;[];[]
303;[330, 2316, 2315, 2801, 2763, 359, 3080, 331, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8515, 8519, 2316, 2315, 2801, 2763, 359, 3080, 331, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2129, 10286, 9114, 6429, 8845, 2973, 8846, 8851, 9722, 1073, 2968, 10107, 2966, 2108, 2097, 8772, 638, 628, 630, 8001, 622, 2260, 1692, 2262, 2264, 2267, 5173, 1691, 1889, 2892, 1689, 7784, 608, 3250, 607, 3246, 10722, 611, 8216, 438, 568, 879, 5284, 5281, 3137, 585, 10879, 587, 5691, 3185, 7049, 7040, 10041, 54, 58, 23, 21, 5017, 4788];[330, 330, 330, 8519, 8517, 8517, 8517, 8517, 2760, 8845, 9722, 2968, 2097, 2097, 630, 2260, 2267, 2892, 3250, 607, 607, 607, 3246, 611, 611, 611, 611, 8216, 8216, 568, 5281, 5691, 7049, 10041, 58, 21, 21, 5017, 5017, 5017, 5017, 5017, 5017, 5017, 5017, 5017, 5017, 4788, 4788]
304;[];[]
305;[];[]
306;[];[]
307;[835];[835]
308;[];[]
309;[];[]
310;[4169, 10519, 2678, 4152, 2698, 5154, 4561, 8494, 5157, 7899, 5138, 1975, 1977, 8638, 8734, 8924, 306, 308, 1, 1043, 137, 5113, 10124, 5117, 132, 621, 8258, 632, 131, 8256, 2046, 8252, 126, 7, 2145, 12, 10220, 11070, 10968, 10048, 10348, 2171, 4745, 10264, 10263, 10260];[4169, 10519, 10519, 2678, 4152, 5154, 4561, 7899, 8638, 1, 137, 137, 137, 5113, 5113, 132, 132, 8258, 632, 8256, 8256, 8252, 7, 2145, 2145, 2145, 11070, 10968, 10348, 10348, 10348, 10348, 10264, 10260, 10260, 10260, 10260, 10260]
311;[1686, 805, 808, 5664, 5665, 1714, 826, 5692, 10668, 8483, 369, 162, 8485, 10979, 7510, 10109, 4869, 10544, 4870, 2459, 533, 420, 5273, 7785, 527, 7172, 5365, 9845, 8645, 5728, 5229, 2371, 546, 7286, 543, 5716, 6477, 542, 6484, 6640, 1078];[1686, 808, 5664, 5665, 5692, 10668, 369, 8485, 10979, 4870, 533, 420, 420, 420, 420, 7172, 8645, 5728, 5229, 7286, 6484, 6640, 6640, 6640, 1078]
312;[835, 7713, 6430, 7463, 933, 939, 927, 9691, 833, 7782, 837, 7867, 7865, 7863, 841, 946, 943, 942, 6991, 862, 6995, 763, 110, 107, 93, 99, 2127, 8765, 122, 901, 903, 3090, 560, 7918, 577, 1299, 1172, 1302, 1301, 431, 1995, 563, 4594, 10198, 889, 4590, 987, 125, 124, 7308, 106, 583, 581, 10082, 2329, 6996, 861, 8737, 10197, 6999, 7304, 9203];[835, 835, 6430, 939, 939, 833, 7782, 7782, 837, 7863, 841, 946, 942, 6991, 6991, 1299, 1299, 8737, 10197, 9203, 9203]
313;[];[]
314;[2332, 6814, 6815, 2331, 2072, 2075, 2080, 2076, 2079, 2333, 6247, 6243, 4836, 4838, 5151, 6827, 6825, 2224, 2152, 10046, 2147, 2004, 2005, 2000, 6813, 1999, 2006, 5289, 2145, 12, 10220, 11070, 10968, 10048, 10348, 2171, 4745, 10264, 10263, 10260, 5650, 10171, 10172, 5653, 5651];[2332, 2332, 2332, 2332, 2331, 2079, 6247, 4836, 5151, 10046, 2004, 2006, 2145, 2145, 2145, 11070, 11070, 11070, 10048, 10348, 10348, 10348, 10348, 10264, 10260, 5650, 5650, 5650, 5650, 5650, 5650, 5651]
315;[146, 8496, 2876, 3064, 3044, 2834, 2836, 2828, 2824, 8955, 7181, 8952, 5338, 9390, 5321, 4800, 7654, 9603, 2318, 8515, 8519, 2317, 10904, 8270, 10907, 367, 146, 8496, 2876, 3064, 3044, 2834, 2836, 2828, 2824, 8955, 7181, 8952, 5338, 9390, 5321, 4800, 7654, 9603, 2318, 8515, 8519, 2317, 10904, 8270, 10906, 3007, 3005, 3008, 10907, 367, 146, 8496, 2876, 3064, 3044, 2834, 2839, 7133, 1164, 2809, 1160, 1234, 1223, 452, 3083, 450, 1185, 9422, 5579, 5564, 10515, 10517, 5552, 820, 9204, 5591, 5585, 5598, 5574, 2143, 2008, 1999, 2006, 5289, 2145, 12, 10220, 11070, 10968, 10048, 10348, 2172, 10348, 2172];[146, 146, 8496, 8496, 8496, 8496, 8496, 8496, 146, 3005, 10907, 367, 8496, 3044, 3044, 2839, 7133, 2809, 1160, 3083, 3083, 3083, 450, 5579, 820, 5598, 2008, 5289, 2145, 2145, 10220, 11070, 11070, 11070, 10048, 10348, 10348, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 10348, 2172, 2172, 2172]
316;[6738, 10734, 10738, 7907, 10896, 4300, 2735, 2746, 7153, 2758, 7498, 2713, 2724, 7467, 2067, 2030, 2676, 2031, 2715, 4210, 4399, 10632, 9364, 9074];[6738, 6738, 6738, 10734, 4300, 2746, 2758, 2724, 7467, 2676, 2676, 2031, 2715, 10632, 9074, 9074, 9074, 9074]
317;[];[]
318;[];[]
319;[1605, 698, 11033, 699, 2492, 680, 7614, 7616, 7209, 7211, 7212, 9568, 485, 8501, 11048, 492, 493, 495, 10704, 6728, 489, 488, 500, 498, 10062, 5388, 137, 5113, 10124, 5117, 132, 621, 8258, 632, 131, 8256, 2046, 8252, 126, 7, 2145, 12, 10220, 11070, 10968, 10048, 10348, 2172, 10348];[1605, 11033, 699, 2492, 680, 7212, 8501, 10704, 488, 500, 10062, 5388, 5388, 137, 137, 5113, 10124, 132, 621, 8258, 632, 8256, 8256, 2046, 126, 7, 2145, 2145, 2145, 12, 11070, 10968, 10048, 10348, 10348, 10348, 10348, 10348, 10348]
320;[1995, 562, 4589, 4598, 902, 121, 8767, 115, 113, 112, 7264, 119, 10038, 3093, 8210, 3347, 79, 76, 7683, 80];[1995, 1995, 1995, 1995, 1995, 1995, 562, 4598, 121, 8767, 115, 115, 113, 7264, 7264, 3093, 7683, 80, 80]
321;[574, 435, 436, 572, 8719, 573, 575, 7917, 7915, 559, 561, 563, 4594, 10198, 890, 10204, 1353, 892, 10181, 2184, 2158, 10336, 4634, 4659, 2161, 4662, 2164, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651, 5650];[574, 574, 574, 574, 574, 574, 435, 436, 436, 572, 573, 573, 559, 561, 561, 4594, 4594, 890, 10204, 1353, 1353, 1353, 10181, 2158, 4634, 4662, 4662, 4662, 2164, 2157, 4688, 1983, 5651, 5650, 5650, 5650, 5650, 5650, 5650, 5650]
322;[6736, 6734, 6732, 8303, 8299, 513, 5161, 507, 508, 503, 141, 229, 8239, 226, 227, 5635, 5675, 5677, 7012, 712, 708, 705, 1158, 713, 716, 70, 3280, 60, 10013, 868, 5674, 1708, 814, 3114, 3286, 3288, 866, 5685, 870, 10367];[6736, 6734, 8303, 5161, 508, 141, 229, 229, 229, 226, 5635, 7012, 708, 1158, 713, 70, 3280, 3280, 3280, 60, 3288, 3288, 3288, 866, 5685, 10367, 10367, 10367]
323;[729, 766, 1678, 7749, 764, 7751, 7432, 6746, 732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7681, 8245, 770, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 835, 7712];[729, 729, 7749, 7432, 732, 7809, 8245, 8245, 8243, 925, 931, 939, 9691, 9691, 835, 835, 835, 835, 835, 7712, 7712]
324;[];[]
325;[];[]
326;[];[]
327;[];[]
328;[8047, 9300, 161, 8483, 369, 162, 8484, 552, 5280, 10027, 7974, 3123, 908, 3229, 10024, 10022, 3147, 3169, 910, 3165, 912, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 572, 8719, 574, 434, 8701, 2362, 1854, 905, 10409, 10412, 10411, 636, 626, 639, 2093, 7424, 2138, 2102, 2322, 2100, 10964, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517];[8047, 9300, 9300, 8483, 369, 162, 8484, 8484, 552, 908, 3169, 912, 3162, 3194, 3295, 8320, 567, 8719, 574, 574, 434, 8701, 2362, 905, 905, 10409, 10411, 626, 626, 626, 626, 2093, 2138, 2322, 2322, 2134, 8516, 8517, 8517, 8517, 8517, 8517, 8517, 8517]
329;[54, 58, 24, 10039, 5129, 3103, 5133, 3091, 3093, 8210, 3347, 79, 77, 7688, 8210, 3347, 79, 76, 7685, 7903, 5498, 753, 756, 760, 8477, 7870, 8459, 107, 94, 95, 87, 89, 756, 760, 8477, 7870, 8459, 107, 93, 100, 102, 124, 7308, 106, 583, 581, 10082, 2329, 6996, 861, 8739, 984, 974, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651, 5650];[54, 54, 54, 54, 54, 58, 5129, 5133, 5133, 3093, 8210, 79, 79, 79, 77, 95, 107, 93, 7308, 106, 581, 2329, 8739, 8739, 974, 974, 2157, 4683, 4694, 5650, 5650, 5650, 5650]
330;[835, 7712, 8475, 7710, 755, 3351, 940, 31, 92, 7797, 90, 3099, 3095, 3100, 3109, 3105, 3097, 10673, 7051, 4511, 1042, 875, 886, 874, 574, 434, 8701, 2362, 1854, 905, 10409, 10412, 10410, 625, 624, 8003, 615, 646, 598, 594, 1129, 1130, 7575, 7556, 7595];[835, 7712, 8475, 7710, 7710, 7710, 3351, 3351, 940, 31, 31, 92, 3099, 3095, 10673, 4511, 875, 874, 874, 874, 574, 434, 434, 434, 434, 434, 434, 434, 434, 434, 8701, 2362, 2362, 1854, 905, 10409, 10412, 10412, 10410, 10410, 624, 8003, 598, 594, 7556, 7595, 7595, 7595, 7595, 7595, 7595, 7595]
331;[667, 668, 671, 10322, 674, 10080, 10079, 1787, 2141, 2008, 1999, 2007, 6811, 2002, 6817, 6824, 819, 8255, 8253, 128, 129, 8259, 634, 636, 626, 639, 2093, 7424, 2138, 2102, 2322, 2100, 10964, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517];[667, 671, 10322, 674, 1787, 1787, 2002, 2002, 6824, 6824, 8253, 8253, 129, 8259, 634, 626, 626, 2093, 2138, 2322, 2100, 2134, 8516, 8517, 8517, 8517, 8517]
332;[];[]
333;[];[]
334;[243, 7422, 8775, 8778, 8776, 7423, 241, 5493, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6982, 6595, 6981, 5492, 243, 7422, 8775, 8779, 245, 7911, 774, 8457, 8623, 830, 8240, 772, 8244, 7709, 7686, 8752, 941, 1052, 3355, 7904, 7684, 77, 7688, 8210, 3347, 79, 76, 7685, 7903, 5498, 753, 756, 760, 8477, 7870, 8459, 107, 94, 95, 87, 89, 756, 760, 8477, 7870, 8459, 107, 93, 99, 2127, 8765, 122, 900, 4597, 4588, 564, 1996, 429, 432, 577, 1298, 10364];[243, 8778, 7423, 241, 6982, 6982, 6982, 6982, 6982, 6982, 6595, 6595, 6595, 6595, 6595, 6982, 6982, 6982, 6982, 6982, 6982, 6982, 6982, 6595, 6595, 6595, 6595, 6982, 6982, 6595, 6595, 6595, 6595, 6595, 6595, 6595, 6595, 6982, 6982, 6982, 6982, 6982, 6982, 6982, 6595, 6595, 6595, 6595, 6595, 6982, 6982, 6982, 6595, 6595, 6595, 6595, 6595, 6595, 5492, 243, 8779, 774, 8457, 830, 830, 830, 830, 772, 8752, 8752, 941, 3355, 7684, 77, 77, 95, 107, 93, 93, 93, 93, 93, 99, 122, 4588, 4588, 4588, 4588, 1996, 429, 432, 432, 432, 10364]
335;[3285, 3283, 3282, 5673, 5410, 3276, 5670, 5149, 3278, 3286, 3288, 866, 5685, 869, 52, 54, 58, 24, 10039, 5129, 3103, 5133, 3091, 3093, 8210, 3347, 79, 76, 7685, 7903, 5498, 753, 756, 760, 8477, 7870, 8459, 107, 94, 95, 87, 89, 756, 760, 8477, 7870, 8459, 107, 93, 100, 102, 124, 7308, 106, 583, 581, 10082, 2329, 6996, 861, 8739, 984, 974, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651, 5650];[3285, 3285, 3285, 3282, 5673, 5410, 3276, 5670, 5670, 5670, 5149, 3278, 866, 52, 52, 54, 54, 24, 5129, 5133, 3093, 3347, 76, 95, 87, 107, 107, 107, 93, 106, 106, 581, 10082, 861, 8739, 984, 984, 2157, 4683, 4694, 5650, 5650, 5650, 5650, 5650, 5650, 5650]
336;[];[]
337;[8483, 368, 5107, 1717, 1707, 3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 866, 5685, 869, 52, 54, 58, 24, 10039, 5129, 3103, 5133, 3091, 3093, 8210, 3346, 8207, 3345, 8209, 3347, 79, 76, 7685, 7903, 5498, 753, 756, 759, 109, 88, 8149, 8151, 8150, 5494, 5498, 753, 756, 760, 8477, 7870, 8459, 107, 94, 95, 87, 89, 756, 760, 8477, 7870, 8459, 107, 93, 100, 102, 124, 7308, 106, 583, 581, 10082, 2329, 6996, 861, 8739, 984, 974, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651];[8483, 8483, 368, 368, 368, 5107, 1717, 7057, 3286, 5685, 5685, 5685, 52, 52, 52, 52, 52, 54, 58, 5129, 5133, 3091, 3093, 3093, 8210, 8207, 8149, 8151, 8151, 94, 107, 93, 7308, 7308, 7308, 7308, 106, 581, 2329, 8739, 8739, 974, 2157, 4694, 1980, 5651, 5651, 5651, 5651, 5651]
338;[72, 10672, 10673, 7051, 4511, 1042, 876, 881, 747, 884, 749, 1973, 3090, 559, 561, 563, 4594, 10198, 889, 4590, 987, 125, 123, 7312, 10177, 10175, 4622, 4620, 9436, 4618, 9432, 9434];[72, 72, 10672, 10673, 1042, 876, 747, 884, 749, 1973, 559, 563, 563, 563, 563, 10198, 4590, 987, 9434, 9434, 9434, 9434, 9434, 9434]
339;[1050, 1158, 715, 724, 2378, 8467, 6993, 722, 63, 7258, 6758, 7818, 727, 729, 766, 1678, 7749, 764, 7751, 7432, 6746, 732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7681, 8245, 770, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 835];[1050, 1158, 1158, 1158, 715, 724, 722, 63, 6758, 7818, 727, 729, 7749, 7751, 732, 7809, 8245, 10259, 925, 6412, 931, 939, 9691, 9691, 835, 835]
340;[667];[667]
341;[991, 894, 899, 896, 10193, 1341, 10185, 10195, 579, 10183, 893, 10709, 10708, 10176, 10178, 10485, 9203, 8480, 10082, 2329, 6996, 861, 8739, 984, 974, 2157, 4683, 4688, 4694, 1983, 1980, 8636, 5651];[991, 991, 991, 991, 991, 991, 10193, 10193, 10185, 10185, 10185, 579, 10709, 10709, 10708, 10176, 10485, 8480, 2329, 2329, 8739, 8739, 984, 984, 974, 2157, 4688, 1983, 5651, 5651, 5651, 5651, 5651, 5651, 5651, 5651]
